"Sol";"Site";"pH";"Eau";"Av.P";"C";"N";"NO3";"NH4";"Exc.Ac";"Exc.Al";"Exc.Ca";"Exc.Mg";"Exc.K";"Exc.Na";"Exc.Cations";"SatBase";"Argile";"Limon";"Sable"
"Alluvial";"508-22_H";4.86;5.22;4.43;1.23;0.14;10.27;1.76;5.38;4.88;0.79;2.38;0.23;0.08;8.86;39.24;36;30;34
"Alluvial";"508-22_L";4.76;3.04;7.17;1.18;0.13;6.48;2.62;2.73;2.53;0.78;1.98;0.47;0.06;6.03;54.68;32;13;54
"Alluvial";"508-22_R";5.08;3.05;6.15;1.09;0.12;7.81;4.81;2.27;2.01;0.95;1.38;0.17;0.06;4.83;53.06;32;28;40
"Alluvial";"508-23_A";5.35;3.7;9.78;1.67;0.15;12.45;4.06;0.96;0.88;5.8;2.45;0.26;0.07;9.54;89.93;28;18;53
"Alluvial";"508-23_D";4.41;3;8.83;1.49;0.16;16.27;3.71;3.66;3.25;0.71;0.93;0.27;0.16;5.73;36.1;27;23;50
"Alluvial";"508-23_F";4.3;3.49;13.94;1.58;0.15;15.86;6.59;3.83;3.37;0.73;1.22;0.22;0.08;6.09;37.06;23;24;53
"Alluvial";"508-23_Q";4.45;2.49;12.57;1.08;0.12;15.7;14.09;3.38;2.77;0.25;0.44;0.23;0.09;4.39;22.97;24;18;58
"Alluvial";"508-23_U";4.52;2.01;7.53;0.79;0.07;7.35;5.14;2.65;2.5;0.16;0.99;0.11;0.06;3.97;33.22;18;13;69
"Alluvial";"508-24_C";4.69;3.7;6.7;0.86;0.1;5.92;7.08;2.44;2.18;2.43;1.59;0.41;0.04;6.92;64.71;26;25;49
"Alluvial";"508-24_E";4.55;4.99;12.58;1.65;0.17;14.03;12.4;2.84;2.44;3.54;0.94;0.62;0.09;8.04;64.67;34;20;46
"Alluvial";"508-24_J";4.55;4.72;4.19;0.9;0.12;8.14;5.45;6.51;6.01;0.19;2.43;0.42;0.15;9.7;32.92;43;30;27
"Alluvial";"508-24_L";4.51;3.71;4.02;0.79;0.09;4.55;2.82;6.02;5.45;0.16;0.99;0.15;0.07;7.39;18.54;32;22;45
"Alluvial";"508-24_Q";4.26;3.66;7.19;0.92;0.11;8.47;5.08;5.09;4.77;0.24;1.15;0.45;0.07;7;27.32;34;22;45
"Alluvial";"508-24_T";4.42;4.2;4.75;1.08;0.12;11.31;24.13;7.05;6.58;0.28;1.07;0.25;0.07;8.72;19.21;41;22;37
"Alluvial";"508-11_B";4.64;5.09;5.23;1.4;0.1;3.94;12.46;3.42;2.87;1.28;4.18;0.61;0.08;9.57;64.21;44;25;32
"Alluvial";"508-11_E";4.29;4.31;9.52;2;0.17;4.3;5.13;6.48;5.96;0.28;0.62;0.23;0.08;7.68;15.67;35;35;30
"Alluvial";"508-11_N";5.18;5.12;8.67;2.07;0.22;12.55;3.1;1.32;0.97;4.72;4.54;0.27;0.09;10.94;87.96;42;14;44
"Alluvial";"508-11_Q";4.59;4.45;7.12;1.42;0.17;2.98;2.07;5.23;4.87;0.95;1.53;0.42;0.08;8.21;36.24;34;22;44
"Alluvial";"508-11_S";5.11;4.99;4.18;1.74;0.19;4.41;13.21;0.32;0.16;7.07;4.89;0.5;0.08;12.85;97.54;39;36;25
"Alluvial";"508-11_T";4.92;2.64;10.1;1.33;0.15;5.86;16.4;1.59;1.18;1.41;1.93;0.22;0.07;5.22;69.51;27;12;62
"Alluvial";"508-11_X";4.72;4.51;9.4;1.68;0.2;1.86;5.71;4.24;3.77;0.9;2.36;0.41;0.05;7.96;46.73;32;26;42
"Alluvial";"508-12_S";4.63;7.66;10.09;2.72;0.31;10.27;6.67;5.2;4.39;1.4;4.29;0.44;0.08;11.42;54.46;44;32;24
"Alluvial";"508-12_W";4.56;4.19;5.46;1.09;0.12;7.47;6.86;5.71;5.32;0.45;2.55;0.53;0.07;9.32;38.67;33;25;42
"Alluvial";"508-13_G";4.66;4.66;7.08;1.64;0.19;8.97;3.88;6.77;6.56;0.45;3.84;0.64;0.16;11.85;42.92;42;36;22
"Alluvial";"508-13_K";5.02;4.48;7.31;1.63;0.19;4.4;5.45;2.62;1.96;2.03;4.29;0.38;0.05;9.38;72.08;38;24;38
"Alluvial";"508-13_O";4.26;3.33;9.82;1.17;0.11;10.5;2.78;3.93;3.03;0.47;0.29;0.19;0.05;4.93;20.26;23;22;54
"Alluvial";"508-13_Q";4.48;2.8;8.49;0.95;0.1;6.76;9.05;3.91;3.19;0.14;0.37;0.12;0.02;4.57;14.37;23;17;60
"Alluvial";"508-13_S";4.4;5.34;7.82;1.8;0.19;10.96;5.18;7.45;6.34;0.37;1.3;0.44;0.07;9.63;22.65;37;35;28
"Alluvial";"508-14_K";4.68;4.09;6.62;1.18;0.13;1.44;9.08;5.79;4.77;0.19;1.12;0.4;0.11;7.61;23.92;31;13;56
"Alluvial";"508-14_L";4.65;5;7.65;1.49;0.18;12.77;13.96;5.53;4.63;0.41;2.36;0.46;0.05;8.8;37.17;36;30;34
"Alluvial";"508-14_M";4.41;5.35;8.53;1.91;0.21;9.27;15.65;4.97;3.96;2.01;2.65;0.43;0.06;10.12;50.94;39;28;33
"Alluvial";"508-14_W";4.46;2.48;9.86;0.74;0.07;7.37;19.68;3.03;2.51;0.28;0.43;0.13;0.07;3.92;22.88;25;5;71
