"Sol";"Site";"pH";"Eau";"Av.P";"C";"N";"NO3";"NH4";"Exc.Ac";"Exc.Al";"Exc.Ca";"Exc.Mg";"Exc.K";"Exc.Na";"Exc.Cations";"SatBase";"Argile";"Limon";"Sable"
"Alluvial";"292-14_X";4.58;4.82;6.48;2.35;0.27;12.52;7.44;4.1;3.78;3.45;3.79;0.24;0.07;11.64;64.8;49;31;21
"Grès";"292-21_K";4.47;1.87;7.28;1.09;0.08;1.46;7.37;2.96;2.39;0.05;0.09;0.1;0.03;3.23;8.47;18;10;73
"Grès";"292-21_Q";4.36;3.08;3.86;1.68;0.11;0.18;8.33;4.85;3.82;0.1;0.3;0.12;0.07;5.45;10.97;29;14;57
"Grès";"292-21_T";4.52;1.91;6.86;0.97;0.08;1.46;7.39;2.5;1.89;0.1;0.3;0.13;0.04;3.05;18.15;9;21;70
"Grès";"292-21_V";4.66;2.2;3.71;1.17;0.1;0.36;7.81;3.37;2.61;0.03;0.28;0.17;0.06;3.92;13.9;22;15;63
"Grès";"292-21_Y";4.63;3.73;3.8;1.59;0.11;0.17;9.46;3.22;2.55;0.03;0.28;0.13;0.07;3.73;13.63;20;8;72
"Grès";"292-22_D";4.71;2.37;3.89;1.19;0.08;0.4;5.73;3.51;2.82;0.08;0.33;0.11;0.09;4.13;15;27;13;60
"Grès";"292-22_J";4.94;2.31;5.13;0.97;0.08;0.35;8.37;2.82;2.25;0.03;0.19;0.16;0.08;3.28;14.2;19;7;74
"Grès";"292-22_N";4.31;6.35;5.48;2.15;0.15;0.8;8.98;5.82;4.83;0.1;0.09;0.26;0.1;6.37;8.59;33;10;58
"Grès";"292-23_D";4.82;2.8;3.27;1.38;0.09;0.2;6.43;3.86;3.09;0.05;0.22;0.14;0.09;4.36;11.5;21;17;62
"Grès";"292-23_H";4.74;3.85;3.39;1.15;0.1;1.07;4.47;5.15;4.26;0.05;0.33;0.15;0.08;5.76;10.66;27;17;57
"Grès";"292-23_O";4.77;3.75;4.73;1.15;0.1;0.13;10.3;3.84;2.96;0.28;0.4;0.24;0.09;4.85;20.8;17;17;66
"Grès";"292-23_P";4.75;3.17;3.5;1.2;0.1;0;7.46;3.9;3.15;0.04;0.21;0.14;0.08;4.37;10.81;22;10;68
"Grès";"292-23_S";4.52;4.71;3.35;1.62;0.12;0.52;9.08;6.51;5.46;0.1;0.31;0.17;0.1;7.19;9.45;29;17;54
"Grès";"292-23_T";4.74;2.77;3.49;1.15;0.09;0;7.06;3.39;2.78;0.03;0.16;0.09;0.04;3.72;8.76;20;21;58
"Grès";"292-23_W";3.75;3.32;3.41;1.37;0.12;0;7.08;4.29;3.47;0.06;0.54;0.25;0.06;5.21;17.62;25;11;64
"Grès";"292-24_A";4.54;3.54;3.27;1.34;0.1;0.27;11.22;5.57;4.64;0.07;0.33;0.17;0.06;6.2;10.17;27;26;46
"Grès";"292-24_M";4.24;3.31;3.98;2.26;0.13;0;13.88;5.69;4.5;0.05;0.26;0.13;0.08;6.22;8.49;21;22;57
"Grès";"292-24_N";4.19;4.4;3.98;3.08;0.15;0.36;16.18;5.62;4.71;0.03;0.23;0.15;0.06;6.1;7.82;19;17;64
"Grès";"292-24_O";4.68;2.69;5.48;1.04;0.09;2.09;16.08;3.55;2.93;0.03;0.2;0.17;0.05;4;11.33;18;12;70
"Grès";"292-31_B";4.06;2.94;6.36;1.45;0.1;2.18;14.73;4.74;3.84;0.02;0.23;0.12;0.06;5.17;8.36;22;12;66
"Grès";"292-31_E";3.71;2.49;3.05;0.71;0.06;2.08;8.79;3.49;2.77;0.05;0.17;0.1;0.07;3.88;10.1;24;4;72
"Grès";"292-31_K";4.76;3.44;5.1;1.52;0.12;0.45;15.09;4.12;3.68;0.06;0.29;0.2;0.08;4.75;13.37;24;15;60
"Grès";"292-31_X";4.09;3.71;4.77;1.73;0.13;0.56;13.1;4.31;3.84;0.09;0.29;0.17;0.09;4.95;12.94;21;12;67
"Grès";"292-32_A";4.78;2.42;3.08;0.93;0.07;2.02;14.62;3.54;3.07;0.02;0.15;0.09;0.05;3.85;8.07;25;9;66
"Grès";"292-32_C";4.15;2.86;3.55;1.57;0.09;1.79;9.49;4.63;3.91;0.03;0.28;0.16;0.08;5.19;10.71;18;13;69
